service_id,date,exception_type
"30_317574","20151216","1"
"30_317574","20151217","1"
"30_317574","20151218","1"
"30_317574","20151219","1"
"30_317574","20151221","1"
"30_317583","20141210","1"
"30_317583","20141211","1"
"30_317583","20141212","1"
"30_317583","20141213","1"
"30_317583","20141215","1"
"30_317583","20141216","1"
"30_317583","20141217","1"
"30_317583","20141218","1"
"30_317583","20141219","1"
"30_317583","20141220","1"
"30_317583","20141222","1"
"30_317583","20141223","1"
"30_317583","20141227","1"
"30_317583","20141229","1"
"30_317583","20141230","1"
"30_317583","20150102","1"
"30_317583","20150103","1"
"30_317583","20150105","1"
"30_317583","20150107","1"
"30_317583","20150108","1"
"30_317583","20150109","1"
"30_317583","20150110","1"
"30_317583","20150112","1"
"30_317583","20150113","1"
"30_317583","20150114","1"
"30_317583","20150115","1"
"30_317583","20150116","1"
"30_317583","20150117","1"
"30_317583","20150119","1"
"30_317583","20150120","1"
"30_317583","20150121","1"
"30_317583","20150122","1"
"30_317583","20150123","1"
"30_317583","20150124","1"
"30_317583","20150126","1"
"30_317583","20150127","1"
"30_317583","20150128","1"
"30_317583","20150129","1"
"30_317583","20150130","1"
"30_317583","20150131","1"
"30_317583","20150202","1"
"30_317583","20150203","1"
"30_317583","20150204","1"
"30_317583","20150205","1"
"30_317583","20150206","1"
"30_317583","20150207","1"
"30_317583","20150209","1"
"30_317583","20150210","1"
"30_317583","20150211","1"
"30_317583","20150212","1"
"30_317583","20150213","1"
"30_317583","20150214","1"
"30_317583","20150216","1"
"30_317583","20150217","1"
"30_317583","20150218","1"
"30_317583","20150219","1"
"30_317583","20150220","1"
"30_317583","20150221","1"
"30_317583","20150223","1"
"30_317583","20150224","1"
"30_317583","20150225","1"
"30_317583","20150226","1"
"30_317583","20150227","1"
"30_317583","20150228","1"
"30_317583","20150302","1"
"30_317583","20150303","1"
"30_317583","20150304","1"
"30_317583","20150305","1"
"30_317583","20150306","1"
"30_317583","20150307","1"
"30_317583","20150309","1"
"30_317583","20150310","1"
"30_317583","20150311","1"
"30_317583","20150312","1"
"30_317583","20150313","1"
"30_317583","20150314","1"
"30_317583","20150316","1"
"30_317583","20150317","1"
"30_317583","20150318","1"
"30_317583","20150319","1"
"30_317583","20150320","1"
"30_317583","20150321","1"
"30_317583","20150323","1"
"30_317583","20150324","1"
"30_317583","20150325","1"
"30_317583","20150326","1"
"30_317583","20150327","1"
"30_317583","20150328","1"
"30_317583","20150330","1"
"30_317583","20150331","1"
"30_317583","20150401","1"
"30_317583","20150402","1"
"30_317583","20150403","1"
"30_317583","20150404","1"
"30_317583","20150407","1"
"30_317583","20150408","1"
"30_317583","20150409","1"
"30_317583","20150410","1"
"30_317583","20150411","1"
"30_317583","20150413","1"
"30_317583","20150414","1"
"30_317583","20150415","1"
"30_317583","20150416","1"
"30_317583","20150417","1"
"30_317583","20150418","1"
"30_317583","20150420","1"
"30_317583","20150421","1"
"30_317583","20150422","1"
"30_317583","20150423","1"
"30_317583","20150424","1"
"30_317583","20150427","1"
"30_317583","20150428","1"
"30_317583","20150429","1"
"30_317583","20150430","1"
"30_317583","20150502","1"
"30_317583","20150504","1"
"30_317583","20150505","1"
"30_317583","20150506","1"
"30_317583","20150507","1"
"30_317583","20150508","1"
"30_317583","20150509","1"
"30_317583","20150511","1"
"30_317583","20150512","1"
"30_317583","20150513","1"
"30_317583","20150514","1"
"30_317583","20150515","1"
"30_317583","20150516","1"
"30_317583","20150518","1"
"30_317583","20150519","1"
"30_317583","20150520","1"
"30_317583","20150521","1"
"30_317583","20150522","1"
"30_317583","20150523","1"
"30_317583","20150525","1"
"30_317583","20150526","1"
"30_317583","20150527","1"
"30_317583","20150528","1"
"30_317583","20150529","1"
"30_317583","20150530","1"
"30_317583","20150601","1"
"30_317583","20150603","1"
"30_317583","20150604","1"
"30_317583","20150605","1"
"30_317583","20150606","1"
"30_317583","20150608","1"
"30_317583","20150609","1"
"30_317583","20150610","1"
"30_317583","20150611","1"
"30_317583","20150612","1"
"30_317583","20150613","1"
"30_317583","20150615","1"
"30_317583","20150616","1"
"30_317583","20150617","1"
"30_317583","20150618","1"
"30_317583","20150619","1"
"30_317583","20150620","1"
"30_317583","20150622","1"
"30_317583","20150623","1"
"30_317583","20150624","1"
"30_317583","20150625","1"
"30_317583","20150626","1"
"30_317583","20150627","1"
"30_317583","20150629","1"
"30_317583","20150630","1"
"30_317583","20150701","1"
"30_317583","20150702","1"
"30_317583","20150703","1"
"30_317583","20150704","1"
"30_317583","20150706","1"
"30_317583","20150707","1"
"30_317583","20150708","1"
"30_317583","20150709","1"
"30_317583","20150710","1"
"30_317583","20150711","1"
"30_317583","20150713","1"
"30_317583","20150714","1"
"30_317583","20150715","1"
"30_317583","20150716","1"
"30_317583","20150717","1"
"30_317583","20150718","1"
"30_317583","20150720","1"
